player_id,first_name,last_name,birthdate,height,weight,bats,throws,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,durability,injured,ready
CAL-0001,Darrell,Butenhoff,1996-07-15,69,214,L,L,C,,0,,,44,43,48,50,49,49,50,50,60,49,,,,,,,,,,,,62,0,1
CAL-0002,Everett,Oyler,1991-02-15,72,193,R,R,1B,,0,,,45,55,42,49,56,59,50,50,51,51,,,,,,,,,,,,64,0,1
CAL-0003,Carlos,Dieteman,2002-05-15,74,178,L,L,2B,,0,,,56,48,57,47,54,65,59,50,64,47,,,,,,,,,,,,58,0,1
CAL-0004,Denny,Marchbanks,2001-01-15,73,206,R,R,3B,,0,,,54,53,46,49,44,60,44,50,49,44,,,,,,,,,,,,56,0,1
CAL-0005,Gil,Muskus,2003-02-15,72,160,L,L,SS,,0,,,47,42,54,46,50,58,66,50,51,64,,,,,,,,,,,,65,0,1
CAL-0006,Roderick,Coch,2000-04-15,73,226,R,R,LF,,0,,,56,58,54,50,49,62,44,50,55,45,,,,,,,,,,,,45,0,1
CAL-0007,Parker,Brosig,1991-04-15,73,196,L,L,CF,,0,,,49,51,54,51,50,51,49,50,50,67,,,,,,,,,,,,51,0,1
CAL-0008,Warren,Michlich,1996-07-15,75,198,L,L,RF,,0,,,49,51,44,54,53,50,47,50,44,65,,,,,,,,,,,,42,0,1
CAL-0009,Adrian,Bruschke,2000-02-15,73,213,R,R,DH,,0,,,51,53,35,58,51,57,47,50,45,54,,,,,,,,,,,,63,0,1
CAL-0010,Jarvis,Weissmann,1992-08-15,75,221,S,R,C,,0,,,44,40,35,41,48,55,57,50,39,55,,,,,,,,,,,,61,0,1
CAL-0011,Mckinley,Ineson,1996-02-15,71,202,R,R,2B,"SS,3B",0,,,46,42,49,39,50,47,38,50,50,43,,,,,,,,,,,,64,0,1
CAL-0012,Victor,Mcintee,1997-04-15,72,220,R,R,CF,"LF,RF",0,,,44,45,57,45,53,54,51,50,45,58,,,,,,,,,,,,57,0,1
CAL-0013,Nolan,Pickup,1997-07-15,73,217,R,R,1B,DH,0,,,44,45,35,46,54,58,46,50,42,44,,,,,,,,,,,,42,0,1
CAL-0014,Evan,Carrick,1995-02-15,73,181,R,R,P,,1,SP,SP,,,,,40,,38,,38,58,46,45,50,63,42,,55,61,,,,57,0,1
CAL-0015,Damion,Holsworth,2000-01-15,70,209,L,L,P,,1,SP,SP,,,,,58,,53,,49,55,66,59,49,48,64,,55,47,,,,66,0,1
CAL-0016,Lavern,Mio,1998-08-15,72,191,L,L,P,,1,SP,SP,,,,,59,,62,,43,51,57,35,50,42,58,52,,54,,,,77,0,1
CAL-0017,Isaac,Ostroff,1996-09-15,72,215,R,R,P,,1,SP,SP,,,,,66,,64,,44,68,53,45,53,61,46,46,,55,,,,70,0,1
CAL-0018,Christopher,Patak,1992-01-15,74,209,R,R,P,,1,SP,SP,,,,,47,,43,,47,65,57,53,52,42,54,51,,,59,,,77,0,1
CAL-0019,Darwin,Dechant,1993-03-15,71,219,R,R,P,,1,RP,CL,,,,,64,,45,,44,56,26,53,56,46,67,42,,57,,,,47,0,1
CAL-0020,Brandon,Pettyjohn,1992-04-15,71,216,R,R,P,,1,RP,SU,,,,,48,,67,,58,58,26,57,58,36,63,,45,56,,,,69,0,1
CAL-0021,Reuben,Mengle,1997-02-15,71,199,R,R,P,,1,RP,SU,,,,,46,,54,,49,70,25,48,52,45,56,55,,47,,,,82,0,1
CAL-0022,Chet,Dacunha,1996-03-15,73,209,R,R,P,,1,RP,MR,,,,,52,,38,,60,56,36,56,53,50,51,62,,,66,,,57,0,1
CAL-0023,Humberto,Templet,1997-01-15,70,193,R,R,P,,1,RP,MR,,,,,48,,47,,56,58,33,53,48,59,61,,47,53,,,,76,0,1
CAL-0024,Fritz,Pellegren,1992-08-15,75,212,L,L,P,,1,RP,MR,,,,,42,,67,,35,58,35,56,59,50,56,49,,,50,,,53,0,1
CAL-0025,Heriberto,Shed,1994-01-15,72,200,R,R,P,,1,RP,MR,,,,,53,,49,,51,56,36,47,60,31,77,47,,,57,,,57,0,1
CAL-0026,Joshua,Hawse,1992-08-15,72,227,R,R,P,,1,RP,LR,,,,,41,,49,,48,56,44,59,54,35,61,,56,40,,,,48,0,1
CAL-0027,Albert,Colonel,2002-05-15,72,201,S,R,C,,0,,,49,52,41,54,48,64,44,50,56,64,,,,,,,,,,,,58,0,1
CAL-0028,Kermit,Kierce,1995-02-15,71,204,S,R,1B,,0,,,54,48,41,52,54,57,58,50,54,56,,,,,,,,,,,,73,0,1
CAL-0029,Warren,Rucky,1994-07-15,76,206,R,R,2B,,0,,,55,42,53,54,47,48,46,50,60,36,,,,,,,,,,,,61,0,1
