player_id,first_name,last_name,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,bats,throws,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date,ready,injury_list,injury_start_date,injury_minimum_days,injury_eligible_date,injury_rehab_assignment,injury_rehab_days,durability,pitcher_archetype,hitter_archetype,mo,cl,hm,zone_bottom,zone_top,pot_fielding,delivery
P1208,Sung,Pham,2003-12-05,77,210,Asian,light,brown,clean_shaven,R,R,C,,False,,,48,47,55,47,51,60,44,46,36,58,0,0,0,0,0,0,0,0,0,0,0,59,52,64,55,51,0,0,46,41,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,61,,,46,57,45,1.55,3.575,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",
P4909,Leroy,Walker,1999-07-21,76,168,African,dark,black,beard,L,L,1B,,False,,,61,60,59,59,47,58,45,52,43,72,0,0,0,0,0,0,0,0,0,0,0,71,68,72,72,47,0,0,52,50,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,68,,,47,46,52,1.54,3.56,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",
P3817,Yong,Kim,2002-02-27,75,183,Asian,medium,black,clean_shaven,R,R,2B,,False,,,69,50,54,62,56,45,63,49,48,41,0,0,0,0,0,0,0,0,0,0,0,83,63,67,75,56,0,0,49,61,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,71,,,45,47,54,1.53,3.545,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",
P4487,Fausto,Runions,2003-01-13,76,213,Anglo,medium,blonde,clean_shaven,R,R,3B,,False,,,54,74,55,55,45,62,55,52,55,60,0,0,0,0,0,0,0,0,0,0,0,62,82,70,70,45,0,0,52,69,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,67,,,51,52,45,1.54,3.56,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",
P2937,John,Doe,2002-11-07,75,183,Unknown,light,brown,clean_shaven,R,R,SS,,False,,,78,62,77,73,44,57,44,49,70,59,0,0,0,0,0,0,0,0,0,0,0,88,74,91,78,44,0,0,49,75,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,64,,,51,48,54,1.53,3.545,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",
P5279,Darnell,Scott,2003-11-05,72,242,African,dark,black,clean_shaven,L,L,LF,,False,,,64,61,58,67,49,54,47,52,67,73,0,0,0,0,0,0,0,0,0,0,0,75,75,71,75,49,0,0,52,77,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,59,,,51,53,53,1.5,3.5,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",
P6357,Jamal,Robinson,2003-05-30,76,174,African,dark,brown,beard,R,R,CF,,False,,,49,52,54,46,50,44,62,47,62,58,0,0,0,0,0,0,0,0,0,0,0,62,57,63,52,50,0,0,47,77,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,67,,,52,48,50,1.54,3.56,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",
P5630,Kristofer,Katoa,2000-09-18,75,177,Anglo,light,brown,clean_shaven,L,R,RF,,False,,,60,76,66,60,48,55,56,59,60,78,0,0,0,0,0,0,0,0,0,0,0,73,84,72,68,48,0,0,59,73,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,63,,,49,50,47,1.53,3.545,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",
P7898,Cornell,Hubbell,1997-02-08,69,247,Anglo,light,brown,clean_shaven,R,R,C,1B,False,,,51,47,58,53,56,58,53,52,44,55,0,0,0,0,0,0,0,0,0,0,0,48,49,58,58,56,0,0,52,40,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,65,,,45,46,49,1.47,3.455,"{'P': 60, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",
P1428,Fernando,Castillo,1998-05-31,71,173,Hispanic,dark,brown,clean_shaven,L,L,1B,,False,,,65,62,62,64,48,54,51,48,47,61,0,0,0,0,0,0,0,0,0,0,0,79,74,67,69,48,0,0,48,60,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,61,,,47,49,54,1.49,3.485,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",
P3146,Dexter,Chirco,1997-10-03,75,205,Anglo,medium,black,beard,R,R,2B,,False,,,66,52,85,64,52,52,51,50,81,46,0,0,0,0,0,0,0,0,0,0,0,61,48,81,67,52,0,0,50,82,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,60,,,54,47,44,1.53,3.545,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",
P7449,Salvatore,Jaeschke,1996-08-24,74,203,Anglo,light,brown,clean_shaven,L,R,3B,2B,False,,,60,62,55,58,54,56,46,50,56,61,0,0,0,0,0,0,0,0,0,0,0,58,57,56,59,54,0,0,50,59,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,67,,,50,50,52,1.52,3.53,"{'P': 100, 'C': 10, '1B': 140, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",
P5937,Roberto,Gomez,1996-10-13,73,222,Hispanic,medium,black,clean_shaven,L,R,SS,,False,,,73,59,65,70,52,54,44,49,54,67,0,0,0,0,0,0,0,0,0,0,0,74,63,67,68,52,0,0,49,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,64,,,48,53,51,1.51,3.515,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",
P6291,Alejandro,Guerrero,1998-10-22,73,175,Hispanic,dark,brown,clean_shaven,S,L,LF,,False,,,56,52,78,55,47,52,52,49,63,56,0,0,0,0,0,0,0,0,0,0,0,65,60,88,70,47,0,0,49,72,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,63,,,50,53,46,1.51,3.515,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",
P6287,Xavier,Jefferson,1996-06-24,72,169,African,medium,black,clean_shaven,L,L,CF,,False,,,72,61,56,74,53,55,44,49,63,65,0,0,0,0,0,0,0,0,0,0,0,76,61,51,69,53,0,0,49,68,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,72,,,43,51,56,1.5,3.5,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",
P5075,Tyrone,Scott,1995-05-12,74,168,African,dark,black,clean_shaven,R,R,RF,,False,,,62,70,68,64,49,55,56,48,59,69,0,0,0,0,0,0,0,0,0,0,0,57,70,68,65,49,0,0,48,55,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,63,,,49,53,51,1.52,3.53,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",
P8742,Yong,Tanaka,1991-09-14,73,238,Asian,medium,black,clean_shaven,R,R,C,,False,,,51,41,44,51,50,48,59,53,45,55,0,0,0,0,0,0,0,0,0,0,0,45,37,44,50,50,0,0,53,43,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,62,,,44,57,51,1.51,3.515,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",
P4882,Ricardo,Vasquez,1994-07-25,76,243,Hispanic,medium,black,clean_shaven,R,R,1B,,False,,,63,65,59,67,47,53,58,49,59,48,0,0,0,0,0,0,0,0,0,0,0,60,67,60,65,47,0,0,49,55,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,65,,,52,44,49,1.54,3.56,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",
P3924,Sung,Wang,1994-09-09,74,190,Asian,medium,black,beard,R,R,2B,,False,,,72,61,62,70,49,44,56,52,50,44,0,0,0,0,0,0,0,0,0,0,0,69,61,57,75,49,0,0,52,45,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,66,,,47,48,51,1.52,3.53,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",
P2989,Shane,Polselli,1992-08-15,69,178,Anglo,light,black,clean_shaven,R,R,3B,,False,,,61,60,56,60,52,54,55,50,71,60,0,0,0,0,0,0,0,0,0,0,0,56,58,52,51,52,0,0,50,66,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,59,,,53,52,52,1.47,3.455,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",
