player_id,first_name,last_name,birthdate,height,weight,ethnicity,skin_tone,hair_color,facial_hair,bats,throws,primary_position,other_positions,is_pitcher,role,preferred_pitching_role,ch,ph,sp,eye,gf,pl,vl,sc,fa,arm,endurance,control,movement,hold_runner,fb,cu,cb,sl,si,scb,kn,pot_ch,pot_ph,pot_sp,pot_eye,pot_gf,pot_pl,pot_vl,pot_sc,pot_fa,pot_arm,pot_control,pot_movement,pot_endurance,pot_hold_runner,pot_fb,pot_cu,pot_cb,pot_sl,pot_si,pot_scb,pot_kn,injured,injury_description,return_date,ready,injury_list,injury_start_date,injury_minimum_days,injury_eligible_date,injury_rehab_assignment,injury_rehab_days,durability,pitcher_archetype,hitter_archetype,mo,cl,hm,zone_bottom,zone_top,pot_fielding,delivery
P7232,Tyrone,Carter,2004-04-09,77,161,African,dark,black,clean_shaven,R,R,C,,False,,,53,48,65,51,50,54,51,45,42,55,0,0,0,0,0,0,0,0,0,0,0,59,61,74,62,50,0,0,45,47,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,64,,,48,53,52,1.55,3.575,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",
P9695,Darnell,Green,2003-08-19,76,232,African,medium,black,goatee,L,L,1B,,False,,,66,68,64,65,45,58,52,52,58,58,0,0,0,0,0,0,0,0,0,0,0,79,79,75,76,45,0,0,52,68,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,59,,,51,51,46,1.54,3.56,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",
P6243,Mary,Hibberd,2000-06-09,70,172,Anglo,medium,red,clean_shaven,R,R,2B,,False,,,67,54,44,64,50,42,65,50,54,51,0,0,0,0,0,0,0,0,0,0,0,74,59,55,78,50,0,0,50,67,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,72,,,50,46,58,1.48,3.47,"{'P': 130, 'C': 10, '1B': 160, '3B': 130, 'SS': 90, 'LF': 150, 'CF': 120, 'RF': 140}",
P4502,Sung,Tanaka,2000-08-11,74,177,Asian,medium,black,clean_shaven,L,R,3B,,False,,,66,40,53,61,46,50,54,49,61,57,0,0,0,0,0,0,0,0,0,0,0,81,47,65,72,46,0,0,49,70,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,58,,,54,47,50,1.52,3.53,"{'P': 100, 'C': 10, '1B': 140, '2B': 90, 'SS': 80, 'LF': 130, 'CF': 100, 'RF': 120}",
P6191,Rufus,Harris,2003-07-12,78,247,African,dark,black,mustache,R,R,SS,,False,,,68,62,58,70,45,46,57,47,61,57,0,0,0,0,0,0,0,0,0,0,0,75,70,72,81,45,0,0,47,69,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,64,,,49,53,46,1.56,3.59,"{'P': 140, 'C': 10, '1B': 170, '2B': 100, '3B': 140, 'LF': 160, 'CF': 120, 'RF': 150}",
P1380,Yong,Chen,2003-06-30,71,223,Asian,light,black,clean_shaven,R,R,LF,,False,,,67,47,54,65,54,61,65,45,62,51,0,0,0,0,0,0,0,0,0,0,0,78,54,59,77,54,0,0,45,67,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,62,,,50,50,53,1.49,3.485,"{'P': 90, 'C': 10, '1B': 120, '2B': 60, '3B': 90, 'SS': 40, 'CF': 80, 'RF': 100}",
P1602,Rafael,Martinez,2003-05-12,70,175,Hispanic,medium,black,clean_shaven,R,R,CF,,False,,,60,56,57,58,50,50,54,50,59,43,0,0,0,0,0,0,0,0,0,0,0,72,67,67,63,50,0,0,50,66,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,74,,,50,53,50,1.48,3.47,"{'P': 110, 'C': 10, '1B': 150, '2B': 80, '3B': 110, 'SS': 70, 'LF': 140, 'RF': 130}",
P2155,Leonardo,Dearinger,1999-11-29,73,174,Anglo,light,red,clean_shaven,R,R,RF,,False,,,69,58,60,68,57,58,46,53,61,73,0,0,0,0,0,0,0,0,0,0,0,82,66,69,77,57,0,0,53,75,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,65,,,47,46,52,1.51,3.515,"{'P': 90, 'C': 10, '1B': 130, '2B': 60, '3B': 90, 'SS': 40, 'LF': 110, 'CF': 80}",
P4984,Percy,Harris,1996-03-14,70,195,African,dark,black,beard,L,R,C,,False,,,51,61,40,50,48,46,46,53,47,59,0,0,0,0,0,0,0,0,0,0,0,51,66,45,45,48,0,0,53,51,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,65,,,51,49,46,1.48,3.47,"{'P': 60, '1B': 100, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40, 'RF': 80}",
P9003,Yong,Tran,1996-07-03,74,164,Asian,light,black,clean_shaven,L,L,1B,RF,False,,,72,57,61,71,47,47,51,48,54,64,0,0,0,0,0,0,0,0,0,0,0,73,56,59,73,47,0,0,48,58,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,,,,,,0,65,,,50,50,46,1.52,3.53,"{'P': 60, 'C': 10, '2B': 20, '3B': 60, 'SS': 10, 'LF': 90, 'CF': 40}",
